authors	title	abstract	publication_year	doi	url	IS_ACCEPTED
Ermilov, Timofey and Moussallem, Diego and Usbeck, Ricardo and Ngomo, Axel-Cyrille Ngonga	GENESIS: A Generic RDF Data Access Interface	The availability of billions of facts represented in RDF on the Web provides novel opportunities for data discovery and access. In particular, keyword search and question answering approaches enable even lay people to access this data. However, the interpretation of the results of these systems, as well as the navigation through these results, remains challenging. In this paper, we present Genesis, a generic RDF data access interface. Genesis can be deployed on top of any knowledge base and search engine with minimal effort and allows for the representation of RDF data in a layperson-friendly way. This is facilitated by the modular architecture for reusable components underlying our framework. Currently, these include a generic search back-end, together with corresponding interactive user interface components based on a service for similar and related entities as well as verbalization services to bridge between RDF and natural language.	2017	https://doi.org/10.1145/3106426.3106514	https://doi.org/10.1145/3106426.3106514	FALSE
Thakkar, Harsh and Endris, Kemele M. and Gimenez-Garcia, Jose M. and Debattista, Jeremy and Lange, Christoph and Auer, S\"{o}ren	Are Linked Datasets Fit for Open-Domain Question Answering? A Quality Assessment	The current decade is a witness to an enormous explosion of data being published on the Web as Linked Data to maximise its reusability. Answering questions that users speak or write in natural language is an increasingly popular application scenario for Web Data, especially when the domain of the questions is not limited to a domain where dedicated curated datasets exist, like in medicine. The increasing use of Web Data in this and other settings has highlighted the importance of assessing its quality. While quite some work has been done with regard to assessing the quality of Linked Data, only few efforts have been dedicated to quality assessment of linked data from the question answering domain's perspective. From the linked data quality metrics that have so far been well documented in the literature, we have identified those that are most relevant for QA. We apply these quality metrics, implemented in the Luzzu framework, to subsets of two datasets of crucial importance to open domain QA -- DBpedia and Wikidata -- and thus present the first assessment of the quality of these datasets for QA. From these datasets, we assess slices covering the specific domains of restaurants, politicians, films and soccer players. The results of our experiments suggest that for most of these domains, the quality of Wikidata with regard to the majority of relevant metrics is higher than that of DBpedia.	2016	https://doi.org/10.1145/2912845.2912857	https://doi.org/10.1145/2912845.2912857	FALSE
Diop, Ibrahima and Dieng, Youssou and Faye, Youssou and Malack, Camir A. and Cisse, Ousseynou and Diouf, Boubacar	Decrease the Number of Patients Lost to Follow-up in the Monitoring of PLHIV in Cross-Border Areas between The Gambia, Senegal and Guinea Bissau	The fight against AIDS in West Africa is a big challenge of public health. The main difficulties are related to the availability of antiretrovirals (AVR) and mainly to the observance of the treatment. In the cross-borderland areas of the Gambia, Senegal and Guinea Bissau, these difficulties of the observance of the treatment are amplified by the vulnerability, the high mobility of the populations and the problems of communication between the actors of the monitoring of PLHIV who speak three different languages. That's what makes difficult the fight against AIDS in those areas and justify the phenomenon of the patients lost to follow-up, which is a great indicator for the following of the People Living with HIV-virus (PLHIV). This paper presents the decrease of the number of patients lost to follow-up in the monitoring of the PLHIV in the cross-borderland areas of the Gambia, Senegal and Guinea Bissau by a multilingual semantic web platform of reference, counter reference and auto reference.	2019	https://doi.org/10.1145/3361570.3361596	https://doi.org/10.1145/3361570.3361596	FALSE
Fetahu, Besnik and Fang, Anjie and Rokhlenko, Oleg and Malmasi, Shervin	Gazetteer Enhanced Named Entity Recognition for Code-Mixed Web Queries	Named entity recognition (NER) for Web queries is very challenging. Queries often do not consist of well-formed sentences, and contain very little context, with highly ambiguous queried entities. Code-mixed queries, with entities in a different language than the rest of the query, pose a particular challenge in domains like e-commerce (e.g. queries containing movie or product names). This work tackles NER for code-mixed queries, where entities and non-entity query terms co-exist simultaneously in different languages. Our contributions are twofold. First, to address the lack of code-mixed NER data we create EMBER, a large-scale dataset in six languages with four different scripts. Based on Bing query data, we include numerous language combinations that showcase real-world search scenarios. Secondly, we propose a novel gated architecture that enhances existing multi-lingual Transformers with a Mixture-of-Experts model to dynamically infuse multi-lingual gazetteers, allowing it to simultaneously differentiate and handle entities and non-entity query terms in multiple languages. Experimental evaluation on code-mixed queries in several languages shows that our approach efficiently utilizes gazetteers to recognize entities in code-mixed queries with an F1=68%, an absolute improvement of +31% over a non-gazetteer baseline.	2021		https://doi.org/10.1145/3404835.3463102	FALSE
Thalhammer, Andreas and Thoma, Steffen and Harth, Andreas and Studer, Rudi	Entity-Centric Data Fusion on the Web	A lot of current web pages include structured data which can directly be processed and used. Search engines, in particular, gather that structured data and provide question answering capabilities over the integrated data with an entity-centric presentation of the results. Due to the decentralized nature of the web, multiple structured data sources can provide similar information about an entity. But data from different sources may involve different vocabularies and modeling granularities, which makes integration difficult. We present an approach that identifies similar entity-specific data across sources, independent of the vocabulary and data modeling choices. We apply our method along the scenario of a trustable knowledge panel, conduct experiments in which we identify and process entity data from web sources, and compare the output to a competing system. The results underline the advantages of the presented entity-centric data fusion approach.	2017	https://doi.org/10.1145/3078714.3078717	https://doi.org/10.1145/3078714.3078717	FALSE
Shekarpour, Saeedeh and Auer, Soren and Ngomo, Axel-Cyrille Ngonga and Gerber, Daniel and Hellmann, Sebastian and Stadler, Claus	Keyword-Driven SPARQL Query Generation Leveraging Background Knowledge	The search for information on the Web of Data is becoming increasingly difficult due to its dramatic growth. Especially novice users need to acquire both knowledge about the underlying ontology structure and proficiency in formulating formal queries (e. g. SPARQL queries) to retrieve information from Linked Data sources. So as to simplify and automate the querying and retrieval of information from such sources, we present in this paper a novel approach for constructing SPARQL queries based on user-supplied keywords. Our approach utilizes a set of predefined basic graph pattern templates for generating adequate interpretations of user queries. This is achieved by obtaining ranked lists of candidate resource identifiers for the supplied keywords and then injecting these identifiers into suitable positions in the graph pattern templates. The main advantages of our approach are that it is completely agnostic of the underlying knowledge base and ontology schema, that it scales to large knowledge bases and is simple to use. We evaluate17 possible valid graph pattern templates by measuring their precision and recall on 53 queries against DBpedia. Our results show that 8 of these basic graph pattern templates return results with a precision above 70%. Our approach is implemented as a Web search interface and performs sufficiently fast to return instant answers to the user even with large knowledge bases.	2011	https://doi.org/10.1109/WI-IAT.2011.70	https://doi.org/10.1109/WI-IAT.2011.70	FALSE
Deb Nath, Rudra Pratap and Hose, Katja and Pedersen, Torben Bach	Towards a Programmable Semantic Extract-Transform-Load Framework for Semantic Data Warehouses	In order to create better decisions for business analytics, organizations increasingly use external data, structured, semi-structured and unstructured, in addition to the (mostly structured) internal data. Current Extract-Transform-Load (ETL) tools are not suitable for this "open world scenario" because they do not consider semantic issues in the integration process. Also, current ETL tools neither support processing semantic-aware data nor create a Semantic Data Warehouse (DW) as a semantic repository of semantically integrated data. This paper describes SETL: a (Python-based) programmable Semantic ETL framework. SETL builds on Semantic Web (SW) standards and tools and supports developers by offering a number of powerful modules, classes and methods for (dimensional and semantic) DW constructs and tasks. Thus it supports semantic-aware data sources, semantic integration, and creating a semantic DW, composed of an ontology and its instances. A comprehensive experimental evaluation comparing SETL to a solution made with traditional tools (requiring much more hand-coding) on a concrete use case, shows that SETL provides better performance, knowledge base quality and programmer productivity.	2015	https://doi.org/10.1145/2811222.2811229	https://doi.org/10.1145/2811222.2811229	FALSE
Suchanek, Fabian and Weikum, Gerhard	Knowledge Harvesting in the Big-Data Era	The proliferation of knowledge-sharing communities such as Wikipedia and the progress in scalable information extraction from Web and text sources have enabled the automatic construction of very large knowledge bases. Endeavors of this kind include projects such as DBpedia, Freebase, KnowItAll, ReadTheWeb, and YAGO. These projects provide automatically constructed knowledge bases of facts about named entities, their semantic classes, and their mutual relationships. They contain millions of entities and hundreds of millions of facts about them. Such world knowledge in turn enables cognitive applications and knowledge-centric services like disambiguating natural-language text, semantic search for entities and relations in Web and enterprise data, and entity-oriented analytics over unstructured contents. Prominent examples of how knowledge bases can be harnessed include the Google Knowledge Graph and the IBM Watson question answering system. This tutorial presents state-of-the-art methods, recent advances, research opportunities, and open challenges along this avenue of knowledge harvesting and its applications. Particular emphasis will be on the twofold role of knowledge bases for big-data analytics: using scalable distributed algorithms for harvesting knowledge from Web and text sources, and leveraging entity-centric knowledge for deeper interpretation of and better intelligence with Big Data.	2013	https://doi.org/10.1145/2463676.2463724	https://doi.org/10.1145/2463676.2463724	FALSE
Hinze, Annika and Taube-Schock, Craig and Bainbridge, David and Matamua, Rangi and Downie, J. Stephen	Improving Access to Large-Scale Digital Libraries ThroughSemantic-Enhanced Search and Disambiguation	With 13,000,000 volumes comprising 4.5 billion pages of text, it is currently very difficult for scholars to locate relevant sets of documents that are useful in their research from the HathiTrust Digital Libary (HTDL) using traditional lexically-based retrieval techniques. Existing document search tools and document clustering approaches use purely lexical analysis, which cannot address the inherent ambiguity of natural language. A semantic search approach offers the potential to overcome the shortcoming of lexical search, but even if an appropriate network of ontologies could be decided upon it would require a full semantic markup of each document. In this paper, we present a conceptual design and report on the initial implementation of a new framework that affords the benefits of semantic search while minimizing the problems associated with applying existing semantic analysis at scale. Our approach avoids the need for complete semantic document markup using pre-existing ontologies by developing an automatically generated Concept-in-Context (CiC) network seeded by a priori analysis of Wikipedia texts and identification of semantic metadata. Our Capisco system analyzes documents by the semantics and context of their content. The disambiguation of search queries is done interactively, to fully utilize the domain knowledge of the scholar. Our method achieves a form of semantic-enhanced search that simultaneously exploits the proven scale benefits provided by lexical indexing.	2015	https://doi.org/10.1145/2756406.2756920	https://doi.org/10.1145/2756406.2756920	FALSE
Christianson, Aaron and Dadvar, Maral and Eckert, Kai	Reverse-Transliteration of Hebrew Script for Entity Disambiguation	JudaicaLink is a novel domain-specific knowledge base for Jewish culture, history, and studies. JudaicaLink is built by extracting structured, multilingual knowledge from different sources and it is mainly used for contextualization and entity linking. One of the main challenges in the process of aggregating Jewish digital resources is the use of the Hebrew script. The proof of materials in German central cataloging systems is based on the conversion of the original script of the publication into the Latin script, known as Romanization. Many of our datasets, especially those from library catalogs, contain Hebrew authors' names and titles which are only in Latin script without their Hebrew script. Therefore, it is not possible to identify them in and link them to other corresponding Hebrew resources. To overcome this problem, we designed a reverse-transliteration model which reconstructs the Hebrew script from the Romanization and consequently makes the entities more accessible.	2019	https://doi.org/10.1145/3366030.3366099	https://doi.org/10.1145/3366030.3366099	FALSE
Liu, Jialu and Liu, Tianqi and Yu, Cong	NewsEmbed: Modeling News through Pre-Trained Document Representations	Effectively modeling text-rich fresh content such as news articles at document-level is a challenging problem. To ensure a content-based model generalize well to a broad range of applications, it is critical to have a training dataset that is large beyond the scale of human labels while achieving desired quality. In this work, we address those two challenges by proposing a novel approach to mine semantically-relevant fresh documents, and their topic labels, with little human supervision. Meanwhile, we design a multitask model called NewsEmbed that alternatively trains a contrastive learning with a multi-label classification to derive a universal document encoder. We show that the proposed approach can provide billions of high quality organic training examples and can be naturally extended to multilingual setting where texts in different languages are encoded in the same semantic space. We experimentally demonstrate NewsEmbed's competitive performance across multiple natural language understanding tasks, both supervised and unsupervised.	2021	https://doi.org/10.1145/3447548.3467392	https://doi.org/10.1145/3447548.3467392	FALSE
