authors	title	abstract	publication_year	doi	pdf	citation_cnt	url	IS_ACCEPTED
Elizaveta Zimina; Jyrki Nummenmaa; Kalervo Jarvelin; Jaakko Peltonen; Kostas Stefanidis	MuG-QA: Multilingual Grammatical Question Answering for RDF Data	We introduce [::Multilingual::] Grammatical [::Question Answering::] (MuG-[::QA::]), a system for answering questions in the English, German, Italian and French languages over [::DBpedia::]. The natural language modelling and parsing is implemented using Grammatical Framework (GF), a grammar formalism having natural support for [::multilinguality::]. The question analysis is based on forming an ab...	2018	https://doi.org/10.1109/PIC.2018.8706310	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8706310	1	https://ieeexplore.ieee.org/document/8706310/	TRUE
Xiangzhou Huang; Baogang Wei; Yin Zhang	Automatic Question-Answering Based on Wikipedia Data Extraction	The [::question-answering::] ([::QA::]) system plays a vital role in artificial intelligence. The goal of automatic [::QA::] is to find out correct answers to the natural language questions raised by users from some specified datasets. Data on the Web is about everything and contains almost all the answers we needed. Wikipedia is a collaboratively edited, [::multilingual::], free Internet encyclop...	2015	https://doi.org/10.1109/ISKE.2015.78	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7383065	3	https://ieeexplore.ieee.org/document/7383065/	FALSE
Aleksandr Perevalov; Dennis Diefenbach; Ricardo Usbeck; Andreas Both	QALD-9-plus: A Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers	The ability to have the same experience for different user groups (i.e., accessibility) is one of the most important characteristics of Web-based systems. The same is true for [::Knowledge Graph::] [::Question Answering::] ([::KGQA::]) systems that provide the access to [::Semantic ::][::Web::][:: data::] via [::natural language interface::]. While following our research agenda on the [::multiling...	2022	https://doi.org/10.1109/ICSC52841.2022.00045	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9736271	0	https://ieeexplore.ieee.org/document/9736271/	TRUE
Bo Liu; Li-Ming Zhan; Li Xu; Lin Ma; Yan Yang; Xiao-Ming Wu	Slake: A Semantically-Labeled Knowledge-Enhanced Dataset For Medical Visual Question Answering	Medical visual [::question answering::] (Med-VQA) has tremendous potential in healthcare. However, the development of this technology is hindered by the lacking of publicly-available and high-quality labeled datasets for training and evaluation. In this paper, we present a large [::bilingual::] dataset, SLAKE, with comprehensive semantic labels annotated by experienced physicians and a new structu...	2021	https://doi.org/10.1109/ISBI48211.2021.9434010	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9434010	1	https://ieeexplore.ieee.org/document/9434010/	FALSE
Santosh K. Ray; Khaled Shaalan	A Review and Future Perspectives of Arabic Question Answering Systems	[::Question Answering::] Systems (QASs) have emerged as a good alternative for information seekers to retrieve precise information over the Internet. A good amount of research has been done to improve the performance of QASs across [::several languages::], including European and Asian languages. However, Arabic, a morphologically rich Semitic language spoken by over 422 million people, has not see...	2016	https://doi.org/10.1109/TKDE.2016.2607201	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7563293	25	https://ieeexplore.ieee.org/document/7563293/	FALSE
Mohammad Al-Smadi; Islam Al-Dalabih; Yaser Jararweh; Patrick Juola	Leveraging Linked Open Data to Automatically Answer Arabic Questions	The interchangeably connected Web technologies and the advancements that accompany the [::semantic web::] content&#39;s leaps, have raised many challenges in the results&#39; retrieval process especially for the Arabic Language. This research targets an important, yet insufficiently precedent, area in using Linked Open Data (LOD) for Automatic [::Question Answering::] systems in the Arabic Language. The s...	2019	https://doi.org/10.1109/ACCESS.2019.2956233	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8915781	3	https://ieeexplore.ieee.org/document/8915781/	FALSE
Lahiru Hinguruduwa; Edgard Marx; Tommaso Soru; Thomas Riechert	Assessing Language Identification over DBpedia	[::Multilingual::] [::knowledge bases::] are the key for [::cross-lingual::] and [::multilingual::] applications such as [::Question Answering::], Machine Translation, and Search. They facilitate information access and provide valuable training corpora for multi- and [::cross-lingual::] methods and frameworks. In this work, we evaluate the performance of different language identification methods a...	2021	https://doi.org/10.1109/ICSC50631.2021.00084	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9364504	1	https://ieeexplore.ieee.org/document/9364504/	FALSE
Zhichao Duan; Xiuxing Li; Zhengyan Zhang; Zhenyu Li; Ning Liu; Jianyong Wang	Bridging the Language Gap: Knowledge Injected Multilingual Question Answering	[::Question Answering::] ([::QA::]) is the task of automati-cally answering questions posed by humans in natural languages. There are different settings to answer a question, such as abstractive, extractive, boolean, and multiple-choice [::QA::]. As a popular topic in natural language processing tasks, extractive [::question answering::] task (extractive [::QA::]) has gained extensive attention in...	2021	https://doi.org/10.1109/ICKG52313.2021.00052	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9667687	0	https://ieeexplore.ieee.org/document/9667687/	FALSE
Aleksandr Perevalov; Axel-Cyrille Ngonga Ngomo; Andreas Both	Enhancing the Accessibility of Knowledge Graph Question Answering Systems through Multilingualization	There are around 7000 languages spoken today in the world, yet English dominates in many research communities e.g., [::Knowledge Graph::] [::Question Answering::] ([::KGQA::]). The goal of a [::KGQA::] system is to provide natural language access to a [::knowledge graph::]. While many research works aim to achieve the best possible [::QA::] quality over English benchmarks, only a small share of th...	2022	https://doi.org/10.1109/ICSC52841.2022.00048	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9736278	0	https://ieeexplore.ieee.org/document/9736278/	TRUE
Xinyu Wang; Yuliang Liu; Chunhua Shen; Chun Chet Ng; Canjie Luo; Lianwen Jin; Chee Seng Chan; Anton van den Hengel; Liangwei Wang	On the General Value of Evidence, and Bilingual Scene-Text Visual Question Answering	Visual [::Question Answering::] (VQA) methods have made incredible progress, but suffer from a failure to generalize. This is visible in the fact that they are vulnerable to learning coincidental correlations in the data rather than deeper relations between image content and ideas expressed in language. We present a dataset that takes a step towards addressing this problem in that it contains ques...	2020	https://doi.org/10.1109/CVPR42600.2020.01014	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9156857	11	https://ieeexplore.ieee.org/document/9156857/	FALSE
E. Whittaker; S. Furui; D. Klakow	A statistical classification approach to question answering using Web data	In this paper we treat [::question answering::] ([::QA::]) as a classification problem. Our motivation is to build systems for [::many languages::] without the need for highly tuned linguistic modules. Consequently, word tokens and [::Web data::] are used extensively but no explicit linguistic knowledge is incorporated. A mathematical model for answer retrieval, answer classification and answer le...	2005	https://doi.org/10.1109/CW.2005.10	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1587573	6	https://ieeexplore.ieee.org/document/1587573/	FALSE
Eero Hyvonen	Publishing and Using Cultural Heritage Linked Data on the Semantic Web	Cultural Heritage (CH) data is syntactically and semantically heterogeneous, [::multilingual::], semantically rich, and highly interlinked. It is produced in a distributed, open fashion by museums, libraries, archives, and media organizations, as well as individual persons. Managing publication of such richness and variety of content on the Web, and at the same time supporting distributed, interop...	2012		https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6812749.pdf&bkn=6812748&pdfType=book	0	https://ieeexplore.ieee.org/document/6812748/	FALSE
