Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"What is in the KGQA Benchmark Datasets? Survey on Challenges in Datasets for Question Answering on Knowledge Graphs","Journal on Data Semantics","","10","3 - 4","10.1007/s13740-021-00128-9","Nadine SteinmetzKai-Uwe Sattler","2021","http://link.springer.com/article/10.1007/s13740-021-00128-9","Article"
"A survey on question answering systems over linked data and documents","Journal of Intelligent Information Systems","","55","2","10.1007/s10844-019-00584-7","Eleftherios DimitrakisKonstantinos SgontzosYannis Tzitzikas","2020","http://link.springer.com/article/10.1007/s10844-019-00584-7","Article"
"Core techniques of question answering systems over knowledge bases: a survey","Knowledge and Information Systems","","55","3","10.1007/s10115-017-1100-y","Dennis DiefenbachVanessa LopezKamal SinghPierre Maret","2018","http://link.springer.com/article/10.1007/s10115-017-1100-y","Article"
"Querying knowledge graphs in natural language","Journal of Big Data","","8","1","10.1186/s40537-020-00383-w","Shiqi LiangKurt StockingerTarcisio Mendes de FariasMaria AnisimovaManuel Gil","2021","http://link.springer.com/article/10.1186/s40537-020-00383-w","Article"
"Knowledge extraction from Chinese wiki encyclopedias","Journal of Zhejiang University SCIENCE C","","13","4","10.1631/jzus.C1101008","Zhi-chun WangZhi-gang WangJuan-zi LiJeff Z. Pan","2012","http://link.springer.com/article/10.1631/jzus.C1101008","Article"
"Semantic query graph based SPARQL generation from natural language questions","Cluster Computing","","22","1","10.1007/s10586-017-1332-3","Shengli SongWen HuangYulong Sun","2019","http://link.springer.com/article/10.1007/s10586-017-1332-3","Article"
"A comparative survey of recent natural language interfaces for databases","The VLDB Journal","","28","5","10.1007/s00778-019-00567-8","Katrin AffolterKurt StockingerAbraham Bernstein","2019","http://link.springer.com/article/10.1007/s00778-019-00567-8","Article"
"Knowledge retrieval of historic concepts using semantic web","Cluster Computing","","22","3","10.1007/s10586-018-1883-y","Salma NoorSehrish JamilNeelam GoharLubna Shah","2019","http://link.springer.com/article/10.1007/s10586-018-1883-y","Article"
"A subgraph matching algorithm based on subgraph index for knowledge graph","Frontiers of Computer Science","","16","3","10.1007/s11704-020-0360-y","Yunhao SunGuanyu LiJingjing DuBo NingHeng Chen","2021","http://link.springer.com/article/10.1007/s11704-020-0360-y","Article"
"A proposal of a temporal semantics aware linked data information retrieval framework","Journal of Intelligent Information Systems","","50","3","10.1007/s10844-017-0483-2","Md-Mizanur RahomanRyutaro Ichise","2018","http://link.springer.com/article/10.1007/s10844-017-0483-2","Article"
