Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"RuBQ: A Russian Dataset for Question Answering over Wikidata","The Semantic Web – ISWC 2020","","","","10.1007/978-3-030-62466-8_7","Vladislav KorablinovPavel Braslavski","2020","http://link.springer.com/chapter/10.1007/978-3-030-62466-8_7","Chapter"
"An Introduction to Question Answering over Linked Data","Reasoning Web. Reasoning on the Web in the Big Data Era","","","","10.1007/978-3-319-10587-1_2","Christina UngerAndré FreitasPhilipp Cimiano","2014","http://link.springer.com/chapter/10.1007/978-3-319-10587-1_2","Chapter"
"RuBQ 2.0: An Innovated Russian Question Answering Dataset","The Semantic Web","","","","10.1007/978-3-030-77385-4_32","Ivan RybinVladislav KorablinovPavel EfimovPavel Braslavski","2021","http://link.springer.com/chapter/10.1007/978-3-030-77385-4_32","Chapter"
"Multilingual Question Answering over Linked Data (QALD-3): Lab Overview","Information Access Evaluation. Multilinguality, Multimodality, and Visualization","","","","10.1007/978-3-642-40802-1_30","Philipp CimianoVanessa LopezChristina UngerElena CabrioAxel-Cyrille Ngonga NgomoSebastian Walter","2013","http://link.springer.com/chapter/10.1007/978-3-642-40802-1_30","Chapter"
"Introduction to Linked Data and Its Lifecycle on the Web","Reasoning Web. Reasoning on the Web in the Big Data Era","","","","10.1007/978-3-319-10587-1_1","Axel-Cyrille Ngonga NgomoSören AuerJens LehmannAmrapali Zaveri","2014","http://link.springer.com/chapter/10.1007/978-3-319-10587-1_1","Chapter"
"Linked Data","The Web of Data","","","","10.1007/978-3-030-51580-5_8","Aidan Hogan","2020","http://link.springer.com/chapter/10.1007/978-3-030-51580-5_8","Chapter"
"7th Open Challenge on Question Answering over Linked Data (QALD-7)","Semantic Web Challenges","","","","10.1007/978-3-319-69146-6_6","Ricardo UsbeckAxel-Cyrille Ngonga NgomoBastian HaarmannAnastasia KritharaMichael RöderGiulio Napolitano","2017","http://link.springer.com/chapter/10.1007/978-3-319-69146-6_6","Chapter"
"Introduction","Managing Data From Knowledge Bases: Querying and Extraction","","","","10.1007/978-3-319-94935-2_1","Wei Emma ZhangQuan Z. Sheng","2018","http://link.springer.com/chapter/10.1007/978-3-319-94935-2_1","Chapter"
"Cross-Lingual Natural Language Querying over the Web of Data","Natural Language Processing and Information Systems","","","","10.1007/978-3-642-38824-8_13","Nitish AggarwalTamara PolajnarPaul Buitelaar","2013","http://link.springer.com/chapter/10.1007/978-3-642-38824-8_13","Chapter"
"Introduction to Linked Data and Its Lifecycle on the Web","Reasoning Web. Semantic Technologies for Intelligent Data Access","","","","10.1007/978-3-642-39784-4_1","Sören AuerJens LehmannAxel-Cyrille Ngonga NgomoAmrapali Zaveri","2013","http://link.springer.com/chapter/10.1007/978-3-642-39784-4_1","Chapter"
"HAWK – Hybrid Question Answering Using Linked Data","The Semantic Web. Latest Advances and New Domains","","","","10.1007/978-3-319-18818-8_22","Ricardo UsbeckAxel-Cyrille Ngonga NgomoLorenz BühmannChristina Unger","2015","http://link.springer.com/chapter/10.1007/978-3-319-18818-8_22","Chapter"
"SPBERT: an Efficient Pre-training BERT on SPARQL Queries for Question Answering over Knowledge Graphs","Neural Information Processing","","","","10.1007/978-3-030-92185-9_42","Hieu TranLong PhanJames AnibalBinh T. NguyenTruong-Son Nguyen","2021","http://link.springer.com/chapter/10.1007/978-3-030-92185-9_42","Chapter"
"VQuAnDa: Verbalization QUestion ANswering DAtaset","The Semantic Web","","","","10.1007/978-3-030-49461-2_31","Endri KacupajHamid ZafarJens LehmannMaria Maleshkova","2020","http://link.springer.com/chapter/10.1007/978-3-030-49461-2_31","Chapter"
"QUANT - Question Answering Benchmark Curator","Semantic Systems. The Power of AI and Knowledge Graphs","","","","10.1007/978-3-030-33220-4_25","Ria Hari GusmitaRricha JalotaDaniel VollmersJan ReinekeAxel-Cyrille Ngonga NgomoRicardo Usbeck","2019","http://link.springer.com/chapter/10.1007/978-3-030-33220-4_25","Chapter"
"6th Open Challenge on Question Answering over Linked Data (QALD-6)","Semantic Web Challenges","","","","10.1007/978-3-319-46565-4_13","Christina UngerAxel-Cyrille Ngonga NgomoElena Cabrio","2016","http://link.springer.com/chapter/10.1007/978-3-319-46565-4_13","Chapter"
"AMUSE: Multilingual Semantic Parsing for Question Answering over Linked Data","The Semantic Web – ISWC 2017","","","","10.1007/978-3-319-68288-4_20","Sherzod HakimovSoufian JebbaraPhilipp Cimiano","2017","http://link.springer.com/chapter/10.1007/978-3-319-68288-4_20","Chapter"
"Learning to Rank Query Graphs for Complex Question Answering over Knowledge Graphs","The Semantic Web – ISWC 2019","","","","10.1007/978-3-030-30793-6_28","Gaurav MaheshwariPriyansh TrivediDenis LukovnikovNilesh ChakrabortyAsja FischerJens Lehmann","2019","http://link.springer.com/chapter/10.1007/978-3-030-30793-6_28","Chapter"
"Expressive and Scalable Query-Based Faceted Search over SPARQL Endpoints","The Semantic Web – ISWC 2014","","","","10.1007/978-3-319-11915-1_28","Sébastien Ferré","2014","http://link.springer.com/chapter/10.1007/978-3-319-11915-1_28","Chapter"
"Requirements to Modern Semantic Search Engine","Knowledge Engineering and Semantic Web","","","","10.1007/978-3-319-45880-9_25","Ricardo UsbeckMichael RöderPeter HaaseArtem KozlovMuhammad SaleemAxel-Cyrille Ngonga Ngomo","2016","http://link.springer.com/chapter/10.1007/978-3-319-45880-9_25","Chapter"
"Question Answering over Knowledge Bases","The Semantic Web: ESWC 2018 Satellite Events","","","","10.1007/978-3-319-98192-5_47","Lucia Siciliani","2018","http://link.springer.com/chapter/10.1007/978-3-319-98192-5_47","Chapter"
"Introduction to Linked Data and Its Lifecycle on the Web","Reasoning Web. Semantic Technologies for the Web of Data","","","","10.1007/978-3-642-23032-5_1","Sören AuerJens LehmannAxel-Cyrille Ngonga Ngomo","2011","http://link.springer.com/chapter/10.1007/978-3-642-23032-5_1","Chapter"
"QAnswer KG: Designing a Portable Question Answering System over RDF Data","The Semantic Web","","","","10.1007/978-3-030-49461-2_25","Dennis DiefenbachJosé Giménez-GarcíaAndreas BothKamal SinghPierre Maret","2020","http://link.springer.com/chapter/10.1007/978-3-030-49461-2_25","Chapter"
