authors,title,publication_year,doi,url
Vladislav KorablinovPavel Braslavski,RuBQ: A Russian Dataset for Question Answering over Wikidata,2020,https://doi.org/10.1007/978-3-030-62466-8_7,http://link.springer.com/chapter/10.1007/978-3-030-62466-8_7
Christina UngerAndré FreitasPhilipp Cimiano,An Introduction to Question Answering over Linked Data,2014,https://doi.org/10.1007/978-3-319-10587-1_2,http://link.springer.com/chapter/10.1007/978-3-319-10587-1_2
Ivan RybinVladislav KorablinovPavel EfimovPavel Braslavski,RuBQ 2.0: An Innovated Russian Question Answering Dataset,2021,https://doi.org/10.1007/978-3-030-77385-4_32,http://link.springer.com/chapter/10.1007/978-3-030-77385-4_32
Philipp CimianoVanessa LopezChristina UngerElena CabrioAxel-Cyrille Ngonga NgomoSebastian Walter,Multilingual Question Answering over Linked Data (QALD-3): Lab Overview,2013,https://doi.org/10.1007/978-3-642-40802-1_30,http://link.springer.com/chapter/10.1007/978-3-642-40802-1_30
Axel-Cyrille Ngonga NgomoSören AuerJens LehmannAmrapali Zaveri,Introduction to Linked Data and Its Lifecycle on the Web,2014,https://doi.org/10.1007/978-3-319-10587-1_1,http://link.springer.com/chapter/10.1007/978-3-319-10587-1_1
Aidan Hogan,Linked Data,2020,https://doi.org/10.1007/978-3-030-51580-5_8,http://link.springer.com/chapter/10.1007/978-3-030-51580-5_8
Ricardo UsbeckAxel-Cyrille Ngonga NgomoBastian HaarmannAnastasia KritharaMichael RöderGiulio Napolitano,7th Open Challenge on Question Answering over Linked Data (QALD-7),2017,https://doi.org/10.1007/978-3-319-69146-6_6,http://link.springer.com/chapter/10.1007/978-3-319-69146-6_6
Wei Emma ZhangQuan Z. Sheng,Introduction,2018,https://doi.org/10.1007/978-3-319-94935-2_1,http://link.springer.com/chapter/10.1007/978-3-319-94935-2_1
Nitish AggarwalTamara PolajnarPaul Buitelaar,Cross-Lingual Natural Language Querying over the Web of Data,2013,https://doi.org/10.1007/978-3-642-38824-8_13,http://link.springer.com/chapter/10.1007/978-3-642-38824-8_13
Sören AuerJens LehmannAxel-Cyrille Ngonga NgomoAmrapali Zaveri,Introduction to Linked Data and Its Lifecycle on the Web,2013,https://doi.org/10.1007/978-3-642-39784-4_1,http://link.springer.com/chapter/10.1007/978-3-642-39784-4_1
Ricardo UsbeckAxel-Cyrille Ngonga NgomoLorenz BühmannChristina Unger,HAWK – Hybrid Question Answering Using Linked Data,2015,https://doi.org/10.1007/978-3-319-18818-8_22,http://link.springer.com/chapter/10.1007/978-3-319-18818-8_22
Hieu TranLong PhanJames AnibalBinh T. NguyenTruong-Son Nguyen,SPBERT: an Efficient Pre-training BERT on SPARQL Queries for Question Answering over Knowledge Graphs,2021,https://doi.org/10.1007/978-3-030-92185-9_42,http://link.springer.com/chapter/10.1007/978-3-030-92185-9_42
Endri KacupajHamid ZafarJens LehmannMaria Maleshkova,VQuAnDa: Verbalization QUestion ANswering DAtaset,2020,https://doi.org/10.1007/978-3-030-49461-2_31,http://link.springer.com/chapter/10.1007/978-3-030-49461-2_31
Ria Hari GusmitaRricha JalotaDaniel VollmersJan ReinekeAxel-Cyrille Ngonga NgomoRicardo Usbeck,QUANT - Question Answering Benchmark Curator,2019,https://doi.org/10.1007/978-3-030-33220-4_25,http://link.springer.com/chapter/10.1007/978-3-030-33220-4_25
Christina UngerAxel-Cyrille Ngonga NgomoElena Cabrio,6th Open Challenge on Question Answering over Linked Data (QALD-6),2016,https://doi.org/10.1007/978-3-319-46565-4_13,http://link.springer.com/chapter/10.1007/978-3-319-46565-4_13
Sherzod HakimovSoufian JebbaraPhilipp Cimiano,AMUSE: Multilingual Semantic Parsing for Question Answering over Linked Data,2017,https://doi.org/10.1007/978-3-319-68288-4_20,http://link.springer.com/chapter/10.1007/978-3-319-68288-4_20
Gaurav MaheshwariPriyansh TrivediDenis LukovnikovNilesh ChakrabortyAsja FischerJens Lehmann,Learning to Rank Query Graphs for Complex Question Answering over Knowledge Graphs,2019,https://doi.org/10.1007/978-3-030-30793-6_28,http://link.springer.com/chapter/10.1007/978-3-030-30793-6_28
Sébastien Ferré,Expressive and Scalable Query-Based Faceted Search over SPARQL Endpoints,2014,https://doi.org/10.1007/978-3-319-11915-1_28,http://link.springer.com/chapter/10.1007/978-3-319-11915-1_28
Ricardo UsbeckMichael RöderPeter HaaseArtem KozlovMuhammad SaleemAxel-Cyrille Ngonga Ngomo,Requirements to Modern Semantic Search Engine,2016,https://doi.org/10.1007/978-3-319-45880-9_25,http://link.springer.com/chapter/10.1007/978-3-319-45880-9_25
Lucia Siciliani,Question Answering over Knowledge Bases,2018,https://doi.org/10.1007/978-3-319-98192-5_47,http://link.springer.com/chapter/10.1007/978-3-319-98192-5_47
Sören AuerJens LehmannAxel-Cyrille Ngonga Ngomo,Introduction to Linked Data and Its Lifecycle on the Web,2011,https://doi.org/10.1007/978-3-642-23032-5_1,http://link.springer.com/chapter/10.1007/978-3-642-23032-5_1
Dennis DiefenbachJosé Giménez-GarcíaAndreas BothKamal SinghPierre Maret,QAnswer KG: Designing a Portable Question Answering System over RDF Data,2020,https://doi.org/10.1007/978-3-030-49461-2_25,http://link.springer.com/chapter/10.1007/978-3-030-49461-2_25
Nitish Aggarwal,Cross Lingual Semantic Search by Improving Semantic Similarity and Relatedness Measures,2012,https://doi.org/10.1007/978-3-642-35173-0_26,http://link.springer.com/chapter/10.1007/978-3-642-35173-0_26
Mariana DamovaDana DannéllsRamona EnacheMaria MatevaAarne Ranta,Multilingual Natural Language Interaction with Semantic Web Knowledge Bases and Linked Open Data,2014,https://doi.org/10.1007/978-3-662-43585-4_13,http://link.springer.com/chapter/10.1007/978-3-662-43585-4_13
Zhichun WangZhigang WangJuanzi LiJeff Z. Pan,Building a Large Scale Knowledge Base from Chinese Wiki Encyclopedia,2012,https://doi.org/10.1007/978-3-642-29923-0_6,http://link.springer.com/chapter/10.1007/978-3-642-29923-0_6
Endri KacupajBarshana BanerjeeKuldeep SinghJens Lehmann,ParaQA: A Question Answering Dataset with Paraphrase Responses for Single-Turn Conversation,2021,https://doi.org/10.1007/978-3-030-77385-4_36,http://link.springer.com/chapter/10.1007/978-3-030-77385-4_36
Elena CabrioJulien CojanFabien Gandon,Mind the Cultural Gap: Bridging Language-Specific DBpedia Chapters for Question Answering,2014,https://doi.org/10.1007/978-3-662-43585-4_9,http://link.springer.com/chapter/10.1007/978-3-662-43585-4_9
Shingo KinomuraKazuhiro Kuwabara,Developing a Multilingual Application Using Linked Data: A Case Study,2013,https://doi.org/10.1007/978-3-642-40495-5_13,http://link.springer.com/chapter/10.1007/978-3-642-40495-5_13
Aidan Hogan,Web of Data,2020,https://doi.org/10.1007/978-3-030-51580-5_2,http://link.springer.com/chapter/10.1007/978-3-030-51580-5_2
Jeff Z. PanMei ZhangKuldeep SinghFrank van HarmelenJinguang GuZhi Zhang,Entity Enabled Relation Linking,2019,https://doi.org/10.1007/978-3-030-30793-6_30,http://link.springer.com/chapter/10.1007/978-3-030-30793-6_30
Kalina BontchevaValentin TablanHamish Cunningham,Semantic Search over Documents and Ontologies,2014,https://doi.org/10.1007/978-3-642-54798-0_2,http://link.springer.com/chapter/10.1007/978-3-642-54798-0_2
Nikolay RadoevMathieu TremblayMichel GagnonAmal Zouaq,AMAL: Answering French Natural Language Questions Using DBpedia,2017,https://doi.org/10.1007/978-3-319-69146-6_9,http://link.springer.com/chapter/10.1007/978-3-319-69146-6_9
Edgard MarxKonrad HöffnerSaeedeh ShekarpourAxel-Cyrille Ngonga NgomoJens LehmannSören Auer,Exploring Term Networks for Semantic Search over RDF Knowledge Graphs,2016,https://doi.org/10.1007/978-3-319-49157-8_22,http://link.springer.com/chapter/10.1007/978-3-319-49157-8_22
Saeedeh Shekarpour,DC Proposal: Automatically Transforming Keyword Queries to SPARQL on Large-Scale Knowledge Bases,2011,https://doi.org/10.1007/978-3-642-25093-4_29,http://link.springer.com/chapter/10.1007/978-3-642-25093-4_29
Elena CabrioJulien CojanFabien GandonAmine Hallili,Querying Multilingual DBpedia with QAKiS,2013,https://doi.org/10.1007/978-3-642-41242-4_23,http://link.springer.com/chapter/10.1007/978-3-642-41242-4_23
Konrad HöffnerChristina UngerLorenz BühmannJens LehmannAxel-Cyrille Ngonga NgomoDaniel GerberPhillip Cimiano,User Interface for a Template Based Question Answering System,2013,https://doi.org/10.1007/978-3-642-41360-5_21,http://link.springer.com/chapter/10.1007/978-3-642-41360-5_21
Simon GottschalkElena Demidova,EventKG: A Multilingual Event-Centric Temporal Knowledge Graph,2018,https://doi.org/10.1007/978-3-319-93417-4_18,http://link.springer.com/chapter/10.1007/978-3-319-93417-4_18
Boris Villazon-TerrazasNuria Garcia-SantaYuan RenAlessandro FaraottiHonghan WuYuting ZhaoGuido VetereJeff Z. Pan,Knowledge Graph Foundations,2017,https://doi.org/10.1007/978-3-319-45654-6_2,http://link.springer.com/chapter/10.1007/978-3-319-45654-6_2
Aleksandr PerevalovAndreas Both,Improving Answer Type Classification Quality Through Combined Question Answering Datasets,2021,https://doi.org/10.1007/978-3-030-82147-0_16,http://link.springer.com/chapter/10.1007/978-3-030-82147-0_16
Sebastian WalterChristina UngerPhilipp Cimiano,M-ATOLL: A Framework for the Lexicalization of Ontologies in Multiple Languages,2014,https://doi.org/10.1007/978-3-319-11964-9_30,http://link.springer.com/chapter/10.1007/978-3-319-11964-9_30
Krisztian Balog,Meet the Data,2018,https://doi.org/10.1007/978-3-319-93935-3_2,http://link.springer.com/chapter/10.1007/978-3-319-93935-3_2
Andreas BothDennis DiefenbachKuldeep SinghSaedeeh ShekarpourDidier CherixChristoph Lange,Qanary – A Methodology for Vocabulary-Driven Open Question Answering Systems,2016,https://doi.org/10.1007/978-3-319-34129-3_38,http://link.springer.com/chapter/10.1007/978-3-319-34129-3_38
Lucia SicilianiDennis DiefenbachPierre MaretPierpaolo BasilePasquale Lops,Handling Modifiers in Question Answering over Knowledge Graphs,2019,https://doi.org/10.1007/978-3-030-35166-3_15,http://link.springer.com/chapter/10.1007/978-3-030-35166-3_15
Anselmo PeñasÁlvaro RodrigoBernardo MagniniPamela FornerEduard HovyRichard SutcliffeDanilo Giampiccolo,Results and Lessons of the Question Answering Track at CLEF,2019,https://doi.org/10.1007/978-3-030-22948-1_18,http://link.springer.com/chapter/10.1007/978-3-030-22948-1_18
Gabriel KépéklianOlivier CuréLaurent Bihanic,From the Web of Documents to the Linked Data,2015,https://doi.org/10.1007/978-3-319-17551-5_3,http://link.springer.com/chapter/10.1007/978-3-319-17551-5_3
Matthias WendtMartin GerlachHolger Düwiger,Ask Like an Egyptian: Question Answering in the Alexandria Use Case,2014,https://doi.org/10.1007/978-3-319-06755-1_23,http://link.springer.com/chapter/10.1007/978-3-319-06755-1_23
Dennis DiefenbachKuldeep SinghAndreas BothDidier CherixChristoph LangeSören Auer,The Qanary Ecosystem: Getting New Insights by Composing Question Answering Pipelines,2017,https://doi.org/10.1007/978-3-319-60131-1_10,http://link.springer.com/chapter/10.1007/978-3-319-60131-1_10
Savvas VaritimiadisKonstantinos KotisDimitris SpiliotopoulosCostas VassilakisDionisis Margaris,“Talking” Triples to Museum Chatbots,2020,https://doi.org/10.1007/978-3-030-50267-6_22,http://link.springer.com/chapter/10.1007/978-3-030-50267-6_22
Kang LiuYansong Feng,Deep Learning in Question Answering,2018,https://doi.org/10.1007/978-981-10-5209-5_7,http://link.springer.com/chapter/10.1007/978-981-10-5209-5_7
Achim RettingerArtem SchumilinSteffen ThomaBasil Ell,Learning a Cross-Lingual Semantic Representation of Relations Expressed in Text,2015,https://doi.org/10.1007/978-3-319-18818-8_21,http://link.springer.com/chapter/10.1007/978-3-319-18818-8_21
Daniel GerberAxel-Cyrille Ngonga Ngomo,From RDF to Natural Language and Back,2014,https://doi.org/10.1007/978-3-662-43585-4_12,http://link.springer.com/chapter/10.1007/978-3-662-43585-4_12
Jorge GraciaDaniel Vila-SueroJohn P. McCraeTiziano FlatiCiro BaronMilan Dojchinovski,Language Resources and Linked Data: A Practical Perspective,2015,https://doi.org/10.1007/978-3-319-17966-7_1,http://link.springer.com/chapter/10.1007/978-3-319-17966-7_1
Sebastian NeumaierAxel PolleresSimon SteyskalJürgen Umbrich,Data Integration for Open Data on the Web,2017,https://doi.org/10.1007/978-3-319-61033-7_1,http://link.springer.com/chapter/10.1007/978-3-319-61033-7_1
Mayank Kejriwal,Ecosystems,2019,https://doi.org/10.1007/978-3-030-12375-8_5,http://link.springer.com/chapter/10.1007/978-3-030-12375-8_5
Camille PradelOllivier HaemmerléNathalie Hernandez,Swip: A Natural Language to SPARQL Interface Implemented with SPARQL,2014,https://doi.org/10.1007/978-3-319-08389-6_21,http://link.springer.com/chapter/10.1007/978-3-319-08389-6_21
A. B. M. Moniruzzaman,Modelling and Factorizing Large-Scale Knowledge Graph (DBPedia) for Fine-Grained Entity Type Inference,2021,https://doi.org/10.1007/978-3-030-69377-0_17,http://link.springer.com/chapter/10.1007/978-3-030-69377-0_17
Charu C. Aggarwal,Knowledge Graphs,2021,https://doi.org/10.1007/978-3-030-72357-6_12,http://link.springer.com/chapter/10.1007/978-3-030-72357-6_12
Nikolay RadoevAmal ZouaqMathieu TremblayMichel Gagnon,A Language Adaptive Method for Question Answering on French and English,2018,https://doi.org/10.1007/978-3-030-00072-1_9,http://link.springer.com/chapter/10.1007/978-3-030-00072-1_9
Kuldeep SinghAndreas BothArun SethupatSaeedeh Shekarpour,Frankenstein: A Platform Enabling Reuse of Question Answering Components,2018,https://doi.org/10.1007/978-3-319-93417-4_40,http://link.springer.com/chapter/10.1007/978-3-319-93417-4_40
Jewgeni RoseJens Lehmann,CASQAD – A New Dataset for Context-Aware Spatial Question Answering,2020,https://doi.org/10.1007/978-3-030-62466-8_1,http://link.springer.com/chapter/10.1007/978-3-030-62466-8_1
Takuto AsakuraJin-Dong KimYasunori YamamotoYuka TateisiToshihisa Takagi,A Quantitative Evaluation of Natural Language Question Interpretation for Question Answering Systems,2018,https://doi.org/10.1007/978-3-030-04284-4_15,http://link.springer.com/chapter/10.1007/978-3-030-04284-4_15
Anselmo PeñasChristina UngerGeorgios PaliourasIoannis Kakadiaris,Overview of the CLEF Question Answering Track 2015,2015,https://doi.org/10.1007/978-3-319-24027-5_50,http://link.springer.com/chapter/10.1007/978-3-319-24027-5_50
Thomas RebeleFabian SuchanekJohannes HoffartJoanna BiegaErdal KuzeyGerhard Weikum,"YAGO: A Multilingual Knowledge Base from Wikipedia, Wordnet, and Geonames",2016,https://doi.org/10.1007/978-3-319-46547-0_19,http://link.springer.com/chapter/10.1007/978-3-319-46547-0_19
Dennis DiefenbachKamal SinghPierre Maret,WDAqua-core0: A Question Answering Component for the Research Community,2017,https://doi.org/10.1007/978-3-319-69146-6_8,http://link.springer.com/chapter/10.1007/978-3-319-69146-6_8
Krisztian Balog,Term-Based Models for Entity Ranking,2018,https://doi.org/10.1007/978-3-319-93935-3_3,http://link.springer.com/chapter/10.1007/978-3-319-93935-3_3
Eleftherios DimitrakisKonstantinos SgontzosMichalis MountantonakisYannis Tzitzikas,Enabling Efficient Question Answering over Hundreds of Linked Datasets,2020,https://doi.org/10.1007/978-3-030-44900-1_1,http://link.springer.com/chapter/10.1007/978-3-030-44900-1_1
Roberto MirizziTommaso Di NoiaEugenio Di SciascioAzzurra Ragone,A Recommender System for Linked Data,2012,https://doi.org/10.1007/978-3-642-25008-8_12,http://link.springer.com/chapter/10.1007/978-3-642-25008-8_12
Devis BianchiniValeria De Antonellis,Linked Data Services and Semantics-Enabled Mashup,2012,https://doi.org/10.1007/978-3-642-25008-8_11,http://link.springer.com/chapter/10.1007/978-3-642-25008-8_11
